model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider,thinking_level
muse-spark-1.3-contributor@high,hard_v4_en,1,"Who are the step-parents of the person with dark brown hair, hazel eyes and a pink hat (partners of one of the parents of the person with dark brown hair, hazel eyes and a pink hat who are not the parents of the person with dark brown hair, hazel eyes and a pink hat)?",Tux,Tux,True,True,1.0,12.434924936294555,3106,2089,0,0.0007284000000000001,,False,2034,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,2,Which people without parents work as a programmer?,"Everett,Jax,Preston","Everett,Jax,Preston",True,True,1.0,12.434942483901978,3106,2089,0,0.0007284000000000001,,False,2034,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,3,Which people without parents work as an artist?,"Blair,Curtis,Dina,Malachi,Micah,Rafaela,Trisha","Blair,Curtis,Dina,Malachi,Micah,Rafaela,Trisha",True,True,1.0,12.434966087341309,3106,2089,0,0.0007284000000000001,,False,2034,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,4,"Among Willow and their siblings, who has the most children?","Emilio,Willow","Emilio,Willow",True,True,1.0,12.434980773925782,3106,2089,0,0.0007284000000000001,,False,2034,conditional,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,5,Which people without parents work as a manager?,"Fernanda,Marigold,Rudy,Simone","Fernanda,Marigold,Rudy,Simone",True,True,1.0,12.43499460220337,3106,2089,0,0.0007284000000000001,,False,2034,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,6,"What are the hair colors of the in-laws of the children of the person with black hair, green-brown eyes and a navy hat?","chestnut,dark brown,platinum blonde","chestnut,dark brown,platinum blonde",True,True,1.0,15.779371786117554,3106,2111,0,0.0007328,,False,2057,multihop,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,7,Who are Lucy's step-parents (partners of one of Lucy's parents who are not Lucy's parents)?,Maxim,Maxim,True,True,1.0,15.779389238357544,3106,2111,0,0.0007328,,False,2057,beaux_parents,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,8,Which people without parents work as a pilot?,"Anouk,Hannah,Jay,Vaughn","Hannah,Jay,Vaughn",False,False,0.75,15.779404640197754,3106,2111,0,0.0007328,,False,2057,verticale_racine_critere,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,9,"Who are the half-siblings of the person with strawberry blonde hair, green-brown eyes and a pink hat?",Kieran,Kieran,True,True,1.0,15.779437112808228,3106,2111,0,0.0007328,,False,2057,demi_fratrie,hard,0,False,,5,stop,Meta,high
muse-spark-1.3-contributor@high,hard_v4_en,10,"How many half-siblings does the person with silver hair, blue eyes and a white hat have?",2,2,True,True,1.0,15.779459238052368,3106,2111,0,0.0007328,,False,2057,demi_fratrie,hard,0,False,,5,stop,Meta,high
