model_name,benchmark_name,question_id,question,expected_answer,model_answer,is_correct,is_exact_match,partial_match_score,response_time,prompt_tokens,tokens_used,cached_tokens,cost_usd,error,no_response,reasoning_tokens,question_type,difficulty,hallucinated_names,is_enigma,enigma_complexity,batch_size,finish_reason,provider,thinking_level
deepseek-v4-pro@high,hard_v4_smoke_en,1,"Among the person with chestnut hair, amber eyes and a beige hat and their siblings, who has the most children?",Joshua,,False,False,0.0,192.76967656612396,7798,16000,0,0.017312130000000002,,True,16000,conditional,hard,0,False,,2,length,,high
deepseek-v4-pro@high,hard_v4_smoke_en,2,"Who are the children of the siblings of the grandparents of the person with jet black hair, violet eyes and a maroon hat?","Etta,Israel",,False,False,0.0,192.76970326900482,7798,16000,0,0.017312130000000002,,True,16000,multihop,hard,0,False,,2,length,,high
claude-opus-5@high,hard_v4_smoke_en,1,"Among the person with chestnut hair, amber eyes and a beige hat and their siblings, who has the most children?",Joshua,,False,False,0.0,0.11153256893157959,0,0,0,,"API Error 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""anthropic-workspace-id is required when authenticating with an identity-linked API key; send the id of the workspace this request acts in.""},""request_id"":null}",False,0,conditional,hard,0,False,,2,,,high
claude-opus-5@high,hard_v4_smoke_en,2,"Who are the children of the siblings of the grandparents of the person with jet black hair, violet eyes and a maroon hat?","Etta,Israel",,False,False,0.0,0.11153960227966309,0,0,0,,"API Error 400: {""type"":""error"",""error"":{""type"":""invalid_request_error"",""message"":""anthropic-workspace-id is required when authenticating with an identity-linked API key; send the id of the workspace this request acts in.""},""request_id"":null}",False,0,multihop,hard,0,False,,2,,,high
gpt-5.6@high,hard_v4_smoke_en,1,"Among the person with chestnut hair, amber eyes and a beige hat and their siblings, who has the most children?",Joshua,Joshua,True,True,1.0,14.489100575447083,7665,784,0,,,False,776,conditional,hard,0,False,,2,stop,openai,high
gpt-5.6@high,hard_v4_smoke_en,2,"Who are the children of the siblings of the grandparents of the person with jet black hair, violet eyes and a maroon hat?","Etta,Israel","Israel,Etta",True,True,1.0,14.489160180091858,7665,784,0,,,False,776,multihop,hard,0,False,,2,stop,openai,high
kimi-k3@high,hard_v4_smoke_en,1,"Among the person with chestnut hair, amber eyes and a beige hat and their siblings, who has the most children?",Joshua,Joshua,True,True,1.0,22.723309874534607,7791,815,0,,,False,801,conditional,hard,0,False,,2,stop,,high
kimi-k3@high,hard_v4_smoke_en,2,"Who are the children of the siblings of the grandparents of the person with jet black hair, violet eyes and a maroon hat?","Etta,Israel",Israel,False,False,0.5,22.723381280899048,7791,815,0,,,False,801,multihop,hard,0,False,,2,stop,,high
glm-5.3@high,hard_v4_smoke_en,1,"Among the person with chestnut hair, amber eyes and a beige hat and their siblings, who has the most children?",Joshua,,False,False,0.0,0.2093285322189331,0,0,0,,"API Error 429: {""error"":{""code"":""1113"",""message"":""Insufficient balance or no resource package. Please recharge.""}}",False,0,conditional,hard,0,False,,2,,,high
glm-5.3@high,hard_v4_smoke_en,2,"Who are the children of the siblings of the grandparents of the person with jet black hair, violet eyes and a maroon hat?","Etta,Israel",,False,False,0.0,0.209342360496521,0,0,0,,"API Error 429: {""error"":{""code"":""1113"",""message"":""Insufficient balance or no resource package. Please recharge.""}}",False,0,multihop,hard,0,False,,2,,,high
